source,target,distance,rank,vegan,raupcrick,phy
Kohama,Miyako,126.948805,12,0.0011,-1,132.5318486
Kohama,Nakanougan,41.533846,9,0.0565,-0.95,135.6790758
Kohama,Okinawa,416.252447,22,0.3576,-1,131.4868272
Kohama,Osumi,911.293993,31,0.1725,-0.81,133.3391314
Kohama,Panari,12.253549,6,0.0001,-1,132.1241959
Kohama,Senkaku,156.962443,14,0.0002,-1,133.3087061
Kohama,Taketomi,7.396686,2,0.0001,-1,132.75083
Kohama,Tarama,76.40465,10,0.0001,-1,132.811901
Kohama,Tokashiki,391.318505,19,0.0004,-1,131.9678093
Kohama,Takora,699.346866,29,0.0053,-1,133.4492631
Kohama,Tonaki,385.060884,16,0.0001,-1,132.0954138
Kohama,Yagaji,476.739387,25,0.0001,-1,132.8496217
Kohama,Yonaguni,93.079464,11,0.0091,-1,132.3920485
Kohama,Zamami,390.828338,18,0.0001,-1,131.9189152
Kudaka,Kume,97.175847,12,0.0001,-1,132.3268182
Kudaka,Kuro,442.092372,23,0.0001,-1,132.8978733
Kudaka,Miyako,290.053194,14,0.0777,-0.97,132.6224371
Kudaka,Nakanougan,485.787834,29,0.0056,-1,133.0109975
Kudaka,Okinawa,5.25493,1,0.5178,-1,131.3994886
Kudaka,Osumi,514.40624,30,0.0097,-0.99,132.6160092
Kudaka,Panari,451.813775,27,0.0001,-1,130.5093183
Kudaka,Senkaku,420.443759,20,0.0001,-1,131.5728233
Kudaka,Taketomi,431.428749,21,0.0001,-1,132.1447432
Kudaka,Tarama,355.094056,18,0.0001,-1,131.1347157
Kudaka,Tokashiki,50.34418,3,0.0001,-1,131.2182498
Kudaka,Takora,309.013987,16,0.0001,-1,131.4107301
Kudaka,Tonaki,75.404917,8,0.0001,-1,130.1969282
Kudaka,Yagaji,53.788172,5,0.0001,-1,131.7664225
Kudaka,Yonaguni,521.885617,31,0.0134,-1,132.4902712
Kudaka,Zamami,55.420093,6,0.0001,-1,129.9930621
Kume,Kuro,356.761046,23,0.0001,-1,133.0215937
Kume,Miyako,212.13611,14,0.3012,-0.71,132.6906117
Kume,Nakanougan,396.323764,28,0.0569,-0.95,136.0586571
Kume,Okinawa,72.316611,7,0.7606,-0.28,131.5712214
Kume,Osumi,550.397616,31,0.0127,-0.99,133.6526223
Kume,Panari,365.875616,26,0.0001,-1,132.7578626
Kume,Senkaku,305.667901,17,0.0001,-1,133.4585601
Kume,Taketomi,345.287471,20,0.0001,-1,133.1962616
Kume,Tarama,267.454642,16,0.0001,-1,133.4110455
Kume,Tokashiki,44.106824,5,0.0001,-1,132.2563998
Kume,Takora,336.90301,19,0.0001,-1,133.5303043
Kume,Tonaki,16.041612,1,0.0001,-1,132.5514119
Kume,Yagaji,110.806585,10,0.0001,-1,133.3330058
Kume,Yonaguni,424.004604,29,0.1387,-0.9,132.5279704
Kume,Zamami,37.121092,3,0.0001,-1,132.3268182
Kuro,Miyako,128.86991,12,0.0008,-1,132.1067183
Kuro,Nakanougan,43.044359,9,0.1096,-0.9,137.3554548
Kuro,Okinawa,418.48655,21,0.7135,-0.36,130.8465228
Kuro,Osumi,917.289377,31,0.3781,-0.48,134.3398798
Kuro,Panari,5.992483,2,0.0001,-1,133.2090616
Kuro,Senkaku,168.286524,14,0.0002,-1,133.9976778
Kuro,Taketomi,8.873327,4,0.0001,-1,132.9423431
Kuro,Tarama,78.844663,10,0.0001,-1,134.1214768
Kuro,Tokashiki,394.143819,19,0.0005,-1,132.4414748
Kuro,Takora,704.815284,29,0.0159,-0.99,134.5874293
Kuro,Tonaki,388.907182,16,0.0001,-1,133.2026522
Kuro,Yagaji,479.94071,25,0.0035,-1,134.0226697
Kuro,Yonaguni,98.915455,11,0.0036,-1,131.9082193
Kuro,Zamami,393.948543,18,0.0001,-1,132.8978733
Miyako,Nakanougan,173.137291,12,0.9166,0.58,139.0004207
Miyako,Okinawa,266.89241,21,0.3034,-0.81,129.2847869
Miyako,Osumi,776.88153,31,0.9947,0.97,133.7884988
Miyako,Panari,138.595734,10,0.0102,-1,133.3652063
Miyako,Senkaku,186.281849,13,0.3916,-0.62,134.0467085
Miyako,Taketomi,118.25742,4,0.0025,-1,132.9486644
Miyako,Tarama,44.005254,2,0.0159,-1,134.3311397
Miyako,Tokashiki,244.810171,18,0.3455,-0.63,131.1824894
Miyako,Takora,563.110847,29,0.9801,0.89,134.9035168
Miyako,Tonaki,241.72061,17,0.0962,-0.97,133.1493831
Miyako,Yagaji,331.019133,25,0.0574,-0.98,133.2149505
Miyako,Yonaguni,215.371615,15,0.0415,-0.97,130.2533631
Miyako,Zamami,245.012592,19,0.0799,-0.97,132.6224371
Nakanougan,Okinawa,462.060519,22,0.9944,0.88,138.0941011
Nakanougan,Osumi,952.297809,31,0.2206,-0.77,134.3521122
Nakanougan,Panari,35.718048,3,0.0015,-1,132.450671
Nakanougan,Senkaku,168.731232,12,0.0001,-1,131.8865476
Nakanougan,Taketomi,53.241332,8,0.0185,-0.99,135.2363211
Nakanougan,Tarama,122.492656,11,0.0035,-1,132.5758104
Nakanougan,Tokashiki,436.812341,19,0.2671,-0.68,136.7918832
Nakanougan,Takora,741.48844,29,0.0013,-1,130.8312938
Nakanougan,Tonaki,429.70123,16,0.004,-1,132.5781587
Nakanougan,Yagaji,521.921792,25,0.1194,-0.87,135.5782263
